PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,CabinOnDeck,Embarked
1,0,3,0,22.0,1,0,7.25,0,2
2,1,1,1,38.0,1,0,71.2833,1,0
3,1,3,1,26.0,0,0,7.925,0,2
4,1,1,1,35.0,1,0,53.1,1,2
5,0,3,0,35.0,0,0,8.05,0,2
6,0,3,0,28.0,0,0,8.4583,0,1
7,0,1,0,54.0,0,0,51.8625,2,2
8,0,3,0,2.0,3,1,21.075,0,2
9,1,3,1,27.0,0,2,11.1333,0,2
10,1,2,1,14.0,1,0,30.0708,0,0
11,1,3,1,4.0,1,1,16.7,3,2
12,1,1,1,58.0,0,0,26.55,1,2
13,0,3,0,20.0,0,0,8.05,0,2
14,0,3,0,39.0,1,5,31.275,0,2
15,0,3,1,14.0,0,0,7.8542,0,2
16,1,2,1,55.0,0,0,16.0,0,2
17,0,3,0,2.0,4,1,29.125,0,1
18,1,2,0,28.0,0,0,13.0,0,2
19,0,3,1,31.0,1,0,18.0,0,2
20,1,3,1,28.0,0,0,7.225,0,0
21,0,2,0,35.0,0,0,26.0,0,2
22,1,2,0,34.0,0,0,13.0,4,2
23,1,3,1,15.0,0,0,8.0292,0,1
24,1,1,0,28.0,0,0,35.5,5,2
25,0,3,1,8.0,3,1,21.075,0,2
26,1,3,1,38.0,1,5,31.3875,0,2
27,0,3,0,28.0,0,0,7.225,0,0
28,0,1,0,19.0,3,2,263.0,1,2
29,1,3,1,28.0,0,0,7.8792,0,1
30,0,3,0,28.0,0,0,7.8958,0,2
31,0,1,0,40.0,0,0,27.7208,0,0
32,1,1,1,28.0,1,0,146.5208,6,0
33,1,3,1,28.0,0,0,7.75,0,1
34,0,2,0,66.0,0,0,10.5,0,2
35,0,1,0,28.0,1,0,82.1708,0,0
36,0,1,0,42.0,1,0,52.0,0,2
37,1,3,0,28.0,0,0,7.2292,0,0
38,0,3,0,21.0,0,0,8.05,0,2
39,0,3,1,18.0,2,0,18.0,0,2
40,1,3,1,14.0,1,0,11.2417,0,0
41,0,3,1,40.0,1,0,9.475,0,2
42,0,2,1,27.0,1,0,21.0,0,2
43,0,3,0,28.0,0,0,7.8958,0,0
44,1,2,1,3.0,1,2,41.5792,0,0
45,1,3,1,19.0,0,0,7.8792,0,1
46,0,3,0,28.0,0,0,8.05,0,2
47,0,3,0,28.0,1,0,15.5,0,1
48,1,3,1,28.0,0,0,7.75,0,1
49,0,3,0,28.0,2,0,21.6792,0,0
50,0,3,1,18.0,1,0,17.8,0,2
51,0,3,0,7.0,4,1,39.6875,0,2
52,0,3,0,21.0,0,0,7.8,0,2
53,1,1,1,49.0,1,0,76.7292,4,0
